t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
287,279.527,17.8871,0.76087,-0.00177539,-0.0164542,0.0131322,0.0287512,0.0286151
288,279.267,17.9479,0.761252,0.0230842,0.0271937,0.0131395,0.0290738,0.0288453
289,280.8,17.8586,0.759625,0.0134324,-0.025562,0.0131256,0.0288633,0.0283331
290,282.493,17.8292,0.758057,0.0167567,0.0255172,0.0131663,0.0283205,0.0283209
291,285.62,18.0424,0.755837,0.0307322,-0.0216101,0.0132805,0.0294091,0.0288624
292,285.653,18.0959,0.755929,-0.0036435,0.0209524,0.0132738,0.0285321,0.0281994
293,287.247,18.1888,0.754693,-0.0354774,-0.00186982,0.0132707,0.0296571,0.0286172
294,286.787,18.2483,0.755261,-0.00778659,0.0124767,0.0132834,0.0285383,0.0287877
295,290.16,18.306,0.752428,-0.00716911,-0.0128545,0.0133705,0.0289036,0.0290485
296,292.28,18.2799,0.750498,-0.0199492,0.00553886,0.0134231,0.0282352,0.0294047
297,294.607,18.4237,0.748842,-0.0288634,-0.0221179,0.0135325,0.0294324,0.0292265
298,296.4,18.6191,0.747812,-0.044439,0.0106741,0.013647,0.0290735,0.0295941
299,296.847,18.6073,0.747361,-0.03925,-0.00760502,0.0136387,0.0289331,0.0289123
300,297.547,18.6736,0.746876,-0.0413342,0.0161921,0.0136352,0.0287029,0.0296079
301,297.507,18.6313,0.74677,0.010608,-0.0154016,0.0136116,0.0290001,0.0295869
302,299.213,18.7915,0.745678,-0.026778,0.0118501,0.0136725,0.0293167,0.0293636
303,299.767,18.7303,0.745054,0.00699572,-0.0277194,0.0136862,0.028976,0.0291317
304,302.013,18.8135,0.743302,-0.0210756,0.0196602,0.0137452,0.028437,0.0289623
305,304.1,18.9042,0.741702,0.0233246,-0.0188152,0.0137936,0.0294394,0.0290888
306,304.907,18.9256,0.741076,0.013636,0.0132398,0.0138282,0.028811,0.0291795
307,307.027,19.0931,0.739672,0.0466186,-0.00850332,0.0139188,0.028742,0.0292435
308,307.053,19.0831,0.739623,-0.0241973,0.00532959,0.0139094,0.0291588,0.0288602
309,308.4,19.1454,0.738676,-0.0364824,0.0104328,0.014001,0.0284744,0.0290899
310,309.373,19.2483,0.738066,0.0329132,-0.0160664,0.0140161,0.0284621,0.0294019
311,309.813,19.3121,0.737823,0.00659796,0.0237964,0.0140215,0.0290978,0.0292894
312,313.08,19.6473,0.735846,0.0120282,-0.0308668,0.0141287,0.0287042,0.0290768
313,312.6,19.5975,0.73612,0.0317439,0.019265,0.0140977,0.0289803,0.029313
314,315.56,19.7807,0.73399,0.0369789,-0.0174504,0.0141698,0.0283249,0.0296837
315,316.64,19.6998,0.732872,-0.00332211,0.0092916,0.0142135,0.0294033,0.029897
316,317.64,19.9478,0.732726,-0.0175118,-0.00586293,0.0143007,0.0289921,0.0293492
317,317.007,19.9861,0.733351,-0.0297277,-0.0052405,0.0142588,0.0281373,0.0296245
318,317.32,19.9479,0.732938,0.0232854,0.00651848,0.0142311,0.0289116,0.0295036
319,318.093,20.01,0.732397,0.0455047,-0.000639688,0.0142383,0.0294918,0.0290774
320,320.76,20.1153,0.730318,0.0229418,-0.00021266,0.0142842,0.0286782,0.0293178
321,322.887,20.2574,0.72887,-0.00322324,-0.00469161,0.0143673,0.029594,0.0289009
322,325.107,20.1492,0.726667,-0.00681251,0.0179357,0.0144226,0.0287095,0.0291316
323,321.44,19.8479,0.729058,0.0318569,-0.02302,0.014319,0.0292559,0.0293453
324,320.773,19.9,0.729804,0.0271509,0.0144359,0.0143307,0.0284947,0.0292818
325,321.72,19.851,0.728829,0.0168394,0.00648059,0.0143275,0.0292396,0.0294869
326,321.36,19.7744,0.728924,0.0422917,-0.0177574,0.0142865,0.0283766,0.0290918
327,324.2,20.0196,0.727192,0.00750653,0.00768227,0.0144367,0.029066,0.0289995
328,323.4,19.8781,0.727482,0.00921716,-0.00194913,0.0143917,0.0289617,0.029038
329,323.46,19.9381,0.727579,0.01841,-0.00169522,0.0143988,0.0292232,0.0294955
330,324.64,19.9994,0.72672,0.00802881,-0.00552288,0.0144332,0.0288,0.0292374
331,328.373,20.1891,0.72396,0.0283591,0.000246641,0.01451,0.028841,0.0292658
332,330.787,20.1661,0.721753,0.0114952,-0.0087764,0.0145309,0.0288107,0.0289755
333,332.127,20.2905,0.720953,0.00443104,0.00797409,0.0145964,0.0293267,0.0291756
334,332.267,20.3316,0.720991,-0.0339554,-0.0135286,0.0146334,0.0288447,0.0290129
335,332.333,20.2551,0.720693,0.0134521,0.0268937,0.0146012,0.0284466,0.0287725
336,333.36,20.2999,0.7199,-0.0136447,-0.035746,0.0146084,0.0290626,0.0284733
337,332.04,20.1665,0.720689,-0.0408654,0.0326703,0.0145679,0.0288553,0.0282875
338,331.36,20.0282,0.72093,-0.0566262,-0.0186802,0.014562,0.0284109,0.0283523
339,331.627,20.0626,0.720811,-0.0579563,0.0371204,0.0145858,0.0288924,0.0289265
340,335.213,20.2689,0.718226,-0.0630173,-0.0319843,0.0146559,0.0282244,0.0295635
341,337.087,20.4743,0.717161,-0.0747216,0.0252812,0.0147121,0.028971,0.0296629
342,338.293,20.5177,0.716281,-0.0343408,-0.0392767,0.0147708,0.0285468,0.0295168
343,338.987,20.5445,0.715787,0.0291112,0.0570755,0.0148136,0.0286682,0.0294087
344,338.92,20.5178,0.715775,0.0256827,-0.0569615,0.0148123,0.0284776,0.0288448
345,341.1,20.5854,0.714102,0.0188645,0.0566999,0.0148885,0.0290769,0.0286625
346,341.307,20.5964,0.713946,-0.0177225,-0.0396844,0.0148853,0.0286949,0.0283013
347,341.913,20.6278,0.713534,-0.00127382,0.0303196,0.0149216,0.0287656,0.0283687
348,345.12,20.8798,0.711433,0.00757939,-0.0217435,0.0149834,0.0290221,0.028703
349,344.56,20.8805,0.711895,0.009777,0.00184111,0.0149502,0.0284907,0.0283072
350,346.44,21.017,0.710677,-0.0459439,-0.00327456,0.0150178,0.0297403,0.0284686
351,346.273,20.8512,0.710343,-0.0175802,0.00284519,0.01499,0.0289626,0.028715
352,347.693,20.9657,0.709483,0.00544305,-0.00675995,0.0150598,0.0292629,0.028853
353,345.7,20.9241,0.711036,0.0189756,0.00368845,0.0149639,0.0288192,0.0288596
354,347.067,20.9299,0.70978,-0.0157891,-0.000199308,0.0149287,0.0285362,0.0286682
355,349.36,21.1384,0.708413,-0.0218233,-0.012345,0.0150117,0.0288572,0.0286474
356,351.973,21.2039,0.706343,0.0176149,0.00889428,0.0150751,0.0288127,0.0287618
357,354.113,21.1594,0.704328,-0.0189522,-0.0167654,0.0150913,0.0293221,0.0288294
358,356.6,21.2334,0.702447,-0.027472,0.0193795,0.0151859,0.0290558,0.0287147
359,356.473,21.1228,0.70224,-0.0214997,-0.00688234,0.0151685,0.0289022,0.0287362
360,354.187,20.9744,0.70378,0.0286703,0.0104077,0.0150981,0.0288323,0.0289586
361,356.047,21.1215,0.702577,-0.0457154,-0.00822356,0.0151409,0.0288155,0.0285982
362,355.6,21.1139,0.702942,0.00608674,0.0248752,0.0151261,0.0288219,0.0287583
363,359.467,21.376,0.700407,0.0281265,-0.0134362,0.0152657,0.028657,0.0286887
364,359.267,21.3776,0.700575,0.016475,0.0240304,0.0152498,0.0289771,0.0288483
365,358.927,21.3381,0.700741,-0.000992734,-0.042634,0.0152353,0.0288151,0.0288623
366,360.067,21.6168,0.700588,-0.00436257,0.0310855,0.0152951,0.0285993,0.0289384
367,364.1,21.8691,0.697844,0.0248661,-0.0190269,0.0153981,0.0289329,0.0287288
368,367.813,22.0577,0.69523,0.0195426,0.0306041,0.015505,0.0291624,0.0291045
369,368.207,22.1476,0.695136,0.0166477,-0.0239526,0.0155107,0.0290711,0.0288631
370,367.8,22.0888,0.695318,0.00958439,0.0415519,0.0154967,0.0288648,0.0287812
371,366.513,21.8409,0.695673,0.0116063,-0.0298168,0.0154388,0.0290394,0.0290566
372,367.36,21.8226,0.694895,0.0250984,0.0254783,0.0154602,0.0286692,0.0291248
373,365.153,21.7628,0.696667,-0.0101614,-0.0446963,0.0154482,0.0283624,0.0291888
374,365.08,21.6347,0.696347,-0.0262193,0.0205942,0.0154268,0.0294848,0.0293724
375,366.393,21.658,0.69525,-0.0728511,-0.0194484,0.0154267,0.0279793,0.0294414
376,369.947,21.9115,0.692935,-0.047726,0.0152776,0.0155166,0.0285309,0.0291848
377,370.567,22.0956,0.692951,-0.0155337,-0.0198853,0.0155594,0.0289651,0.0286392
378,372.213,22.0988,0.691598,0.0450815,0.0240397,0.0156226,0.0293039,0.0292979
379,371.667,22.1261,0.692148,0.0217881,-0.014901,0.0156105,0.0280841,0.0292979
380,372.493,21.9843,0.691021,-0.000348235,-0.00480576,0.0156162,0.028887,0.0295604
381,374.127,21.9718,0.689577,-0.0206293,-0.00431825,0.0156443,0.0290738,0.0289587
382,374.653,22.0374,0.689355,0.00308031,0.00131627,0.0156831,0.0290124,0.0285353
383,374.707,22.0808,0.689435,-0.00508695,-0.0010243,0.0156794,0.0288913,0.0284529
384,374.96,22.1237,0.689277,-0.0124624,-0.00209237,0.0156406,0.0293881,0.0281826
385,374.22,22.1817,0.690066,-0.0154069,-0.0143896,0.0156163,0.0284087,0.0281301
386,374.627,22.1115,0.689485,0.0441452,0.0237401,0.0155985,0.0288598,0.0287849
387,374.913,22.0362,0.689018,0.0230358,-0.0215389,0.0156031,0.0290145,0.0286302
388,377.573,22.2049,0.687299,0.0520593,0.0219124,0.0157111,0.027988,0.0289626
389,375.54,22.155,0.68886,0.0289243,-0.0142819,0.0156418,0.0284503,0.0286984
390,377.773,22.2627,0.687275,-0.000921653,-0.00399012,0.0157057,0.0295665,0.0282132
391,382.107,22.5445,0.684454,-0.0452898,0.00864643,0.0158393,0.0281906,0.0283666
392,384.773,22.636,0.682433,-0.00282129,-0.0125141,0.015886,0.0288104,0.0282725
393,387.813,22.6412,0.679837,-0.0148894,0.00484958,0.0159269,0.0288912,0.0284765
394,390.813,22.7207,0.677503,-0.0370601,-0.0329264,0.0159806,0.0293446,0.0281044
395,391.773,22.64,0.676411,-0.00908857,0.0245303,0.0159701,0.0282694,0.029055
396,389.32,22.4045,0.677735,0.00507958,-0.0294648,0.0158689,0.0288139,0.0289836
397,391.02,22.5715,0.676781,-0.0198601,0.0190484,0.0159126,0.0286017,0.0290581
398,388.96,22.4949,0.678274,-0.0140521,-0.000628218,0.0158454,0.0293673,0.0293038
399,391.767,22.7163,0.676605,-0.00571826,0.015424,0.0159558,0.0278238,0.0290078
400,392.32,22.7987,0.676433,0.0374039,-0.031421,0.0160086,0.0289514,0.0288848
401,391.78,22.8351,0.677027,0.0368537,0.0278074,0.0160137,0.0286063,0.0289497
402,392.867,23.1329,0.677043,0.0247013,-0.0289638,0.0160813,0.0286696,0.0288718
403,395.127,23.2183,0.675368,0.0774588,0.0122569,0.0161195,0.0290079,0.028491
404,397.16,23.3217,0.673895,0.0293172,-0.00174728,0.0161219,0.0291326,0.0287563
405,395.96,23.2978,0.674826,0.0206602,0.00733577,0.0160812,0.0286207,0.028959
406,395.827,23.2395,0.674749,-0.0292099,-0.00428565,0.0160587,0.0287922,0.0288001
407,394.273,23.1488,0.675838,-0.00792522,-0.0184008,0.0160613,0.0287762,0.0286892
408,393.92,22.9687,0.675541,-0.0116654,0.0185682,0.0160044,0.02873,0.0288067
409,391.027,22.8289,0.677623,-0.0215463,-0.00828267,0.0159708,0.0292268,0.028401
410,392.227,22.8029,0.676537,0.00239317,-0.00045302,0.015998,0.0287927,0.0281732
411,392.313,22.7855,0.676411,0.0259472,-0.00813916,0.0160048,0.0281615,0.0281643
412,394.56,22.9819,0.675118,0.0095135,0.00264513,0.0160755,0.0294033,0.0279361
413,394.087,23.0361,0.675722,0.0241084,-0.00174253,0.0160929,0.0278601,0.027798
414,395.173,23.1022,0.675042,0.0388629,0.00425262,0.0161382,0.0287204,0.0282538
415,395.44,23.2233,0.675173,0.0491387,-0.000160875,0.0161445,0.029058,0.0282862
416,397.307,23.2271,0.673566,0.0247367,-0.00871514,0.0161636,0.0287426,0.0283125
417,399.98,23.267,0.671446,-0.00560298,0.00135002,0.0162351,0.0291207,0.0287767
418,400,23.1849,0.671126,-0.0169651,-0.003603,0.0162051,0.0283691,0.0287052
419,399.627,23.2843,0.671738,0.0274453,0.00272033,0.0161988,0.029194,0.029013
420,399.507,23.2073,0.671487,0.0201057,-0.0191916,0.0161227,0.0285892,0.0287957
421,398.253,23.2,0.672569,0.0256607,-0.00136474,0.0161221,0.0297198,0.0291094
422,395.813,22.8986,0.673725,0.0184834,-0.0109483,0.0160537,0.027771,0.0292492
423,397.307,22.8773,0.672429,-0.0176454,-6.72E-05,0.0161081,0.0294638,0.0296031
424,399.893,23.0999,0.670963,0.00715108,-0.00111329,0.01622,0.0284582,0.0297448
425,399.187,23.1066,0.671609,0.0287512,0.00804575,0.016221,0.0285723,0.0293665
426,403.133,23.233,0.66867,-0.0451647,-0.012157,0.0163242,0.0296367,0.0295493
427,407.68,23.5789,0.665929,-0.0504279,0.00524642,0.016454,0.028247,0.0293614
428,410.013,23.8209,0.664693,0.00775014,-0.00173717,0.0165094,0.0282397,0.0292135
429,414,23.9629,0.661785,0.00597783,-0.00723228,0.0166038,0.0293645,0.0286819
430,416.733,24.0896,0.65987,0.011938,0.00166533,0.0166565,0.0289156,0.0284089
431,420.793,24.12,0.656482,-0.0098885,-0.00104374,0.0166958,0.0290822,0.0281765
432,420.307,24.1129,0.656762,-0.00934664,-0.00285014,0.0166234,0.0293462,0.0283233
433,420.387,24.1376,0.65673,-0.00380572,0.00698385,0.0166043,0.0285213,0.0287552
434,419.813,24.2384,0.657467,-0.0704105,-0.034637,0.0165632,0.0284185,0.0288515
435,423.467,24.3262,0.65465,-0.0729374,0.0426926,0.0166288,0.0291206,0.0284466
436,425.24,24.4456,0.653574,-0.0183792,-0.0409076,0.0167111,0.0286771,0.0288617
437,424.54,24.4799,0.654297,-0.00414912,0.039228,0.0167189,0.0279393,0.028752
438,426.147,24.7248,0.65371,-0.00740258,-0.0449462,0.016767,0.0291543,0.0290454
439,426.347,24.7067,0.653516,0.0123783,0.0519153,0.0167818,0.0289385,0.0287669
440,426.92,24.7183,0.653013,-0.0613145,-0.0572679,0.0167611,0.0286149,0.0286245
441,425.033,24.5383,0.65406,-0.0588813,0.0639404,0.016722,0.0293686,0.0285804
442,427.347,24.7481,0.652817,-0.0669237,-0.0614322,0.0168049,0.0285438,0.0283306
443,426.187,24.8229,0.654035,-0.0677736,0.0426216,0.0168025,0.0289476,0.0283283
444,426.16,24.7882,0.653992,-0.043816,-0.00935807,0.0167928,0.0293659,0.0285342
445,423.42,24.5859,0.655609,-0.0345239,0.0295536,0.0166965,0.0288411,0.0284183
446,423.96,24.4608,0.654709,0.0177087,-0.0474157,0.0166624,0.0284852,0.0282922
447,424.66,24.5033,0.65419,0.0238616,0.0493828,0.016651,0.0294348,0.0285626
448,428.587,24.815,0.651879,0.03431,-0.0581984,0.0167459,0.0281729,0.0283787
449,428.06,24.8269,0.652498,0.0258688,0.0397012,0.0168055,0.0296758,0.0284849
450,426.587,24.7264,0.653451,0.000839593,-0.0432909,0.0167771,0.0279441,0.0287996
451,425.433,24.7016,0.654295,0.0103649,0.0542471,0.0167361,0.0298112,0.0288867
452,427.08,24.7646,0.652982,-0.0183487,-0.0660297,0.0167011,0.0292315,0.0290368
453,429.453,24.7428,0.650946,0.00496274,0.046517,0.0167471,0.0287157,0.0290011
454,430.507,24.9158,0.650569,0.000789209,-0.0543103,0.0167659,0.0291663,0.029046
455,431.64,25.1154,0.650218,0.0260821,0.0605264,0.0167823,0.0283741,0.028647
456,430.587,25.0359,0.650743,0.00134534,-0.050971,0.0167155,0.029017,0.0286633
457,430.087,24.9869,0.651042,-0.0147364,0.0671357,0.0167121,0.0291226,0.0283806
458,425.827,24.6779,0.653601,-0.0360967,-0.0611694,0.0165914,0.028694,0.0280233
459,426.987,24.7397,0.652956,-0.0219917,0.0574133,0.0166847,0.0285581,0.0281116
460,431.173,25.0321,0.650383,0.00452913,-0.0656734,0.0167994,0.0290573,0.0282738
461,432.667,25.1318,0.649593,-0.00923242,0.0484427,0.016894,0.0294004,0.0283942
462,437.347,25.2351,0.646098,0.0435163,-0.0472338,0.0170268,0.0282467,0.028436
463,441.273,25.4324,0.643413,0.0497307,0.0396714,0.0170862,0.0292007,0.0286461
464,440.76,25.4757,0.643928,0.022216,-0.0354833,0.0170511,0.0283534,0.0281417
465,444.247,25.5687,0.641305,0.0335649,0.0326071,0.0170987,0.0288908,0.0288581
466,445.6,25.5465,0.640054,0.0139929,-0.0277166,0.0170804,0.0285691,0.0290578
467,451.1,25.8652,0.636492,-0.014518,0.0359124,0.017188,0.02927,0.0293529
468,449.973,25.8661,0.63734,-0.0267015,-0.0327,0.0171399,0.0292748,0.0290732
469,450.107,25.8617,0.637197,-0.0117728,0.0466898,0.0171266,0.0289959,0.0288867
470,452.333,26.0532,0.635915,0.0148735,-0.0574764,0.0171406,0.0291731,0.0291653
471,454.613,26.0563,0.634065,0.0194104,0.0561492,0.017195,0.0285413,0.029278
472,457.693,26.1958,0.631974,0.0607739,-0.0361983,0.0172817,0.0298655,0.0296595
473,457.267,26.2647,0.632593,0.00623789,0.047143,0.0172926,0.0278493,0.0290687
474,460.133,26.6606,0.631582,0.051514,-0.0394688,0.017401,0.0289213,0.0290256
475,461.74,26.6858,0.630351,-0.00485805,0.0335783,0.0174355,0.0289963,0.0287229
476,462.453,26.8612,0.630415,-0.0239046,-0.0435291,0.0174818,0.0287471,0.0286032
477,459.453,26.5683,0.631963,-0.017017,0.0348739,0.0174362,0.0287091,0.0289974
478,462.213,26.839,0.630597,0.00167782,-0.0409456,0.0175157,0.0283855,0.0293193
479,462.86,26.965,0.630389,-0.0262453,0.0335033,0.0174891,0.0291503,0.0291316
480,462.56,26.9718,0.630739,0.0106653,-0.049334,0.017499,0.0292769,0.0292682
481,462.04,26.964,0.631155,0.00891982,0.0470282,0.0174963,0.0281325,0.0294005
482,464.373,27.0708,0.629601,0.0275435,-0.0406688,0.0175617,0.0295506,0.0288949
483,464.173,27.053,0.629612,0.0582368,0.0600124,0.0175211,0.0286435,0.029225
484,469.173,27.4804,0.626889,0.0311875,-0.0560823,0.0176111,0.0297273,0.0288718
485,470.22,27.6215,0.626658,-0.0136451,0.0620624,0.0176831,0.0284777,0.0286812
486,470.227,27.6149,0.626719,-0.00901093,-0.0537175,0.0176959,0.0287271,0.0284461
487,469.7,27.5041,0.626768,-0.0158968,0.0315072,0.0176903,0.0294213,0.0288087
488,472.387,27.7516,0.625378,-0.0197672,-0.0246556,0.0177455,0.0291864,0.0288443
489,472.5,27.7261,0.625243,-0.0291505,0.0253665,0.0177461,0.029266,0.0288758
490,473.427,27.8577,0.624866,0.00498642,-0.024838,0.0177435,0.0285593,0.0290328
491,476.14,28.2279,0.623869,-0.027758,0.0337053,0.0177895,0.028493,0.0286158
492,473.707,28.0277,0.62514,-0.00532898,-0.0200013,0.0177238,0.0298401,0.0279338
493,471.947,28.041,0.626625,-0.0151656,0.0175584,0.0176852,0.028411,0.0284698
494,466.72,27.7965,0.630026,-0.0373828,-0.0227183,0.017564,0.0294502,0.0283309
495,469.093,27.862,0.628467,-0.00633729,0.0173407,0.0176845,0.0280476,0.0285895
496,472.987,28.1853,0.626403,-0.0202079,-0.00684488,0.0177972,0.0293331,0.0283662
497,473.08,28.1346,0.626214,-0.0251003,-0.00355589,0.0178027,0.0289567,0.029087
498,477.333,28.2942,0.623416,0.00262801,-0.0149068,0.0179392,0.028356,0.0291416
499,479.033,28.3531,0.622261,-0.00134522,0.0255852,0.0179884,0.0290296,0.029442
